YearWeek	ScreenID	Screen	Part	Distr	SUISA	OrigTitle	TotPro	TotAdm	TotBox	Dac	Pro_OV_2D	Adm_OV_2D	Box_OV_2D	Pro_GV_2D	Adm_GV_2D	Box_GV_2D	Pro_FV_2D	Adm_FV_2D	Box_FV_2D	Pro_IV_2D	Adm_IV_2D	Box_IV_2D	Pro_OV_3D	Adm_OV_3D	Box_OV_3D	Pro_GV_3D	Adm_GV_3D	Box_GV_3D	Pro_FV_3D	Adm_FV_3D	Box_FV_3D	Pro_IV_3D	Adm_IV_3D	Box_IV_3D	TotPro_OV	TotAdm_OV	TotBox_OV	TotPro_GV	TotAdm_GV	TotBox_GV	TotPro_FV	TotAdm_FV	TotBox_FV	TotPro_IV	TotAdm_IV	TotBox_IV	TotPro_2D	TotAdm_2D	TotBox_2D	TotPro_3D	TotAdm_3D	TotBox_3D
202522	108414	Reinach, TaB* Atelierkino	G	JMH	1020835	Un Ours dans le Jura	1	14	193	r	1	14	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	193	0	0	0	0	0	0	0	0	0	1	14	193	0	0	0
202521	108414	Reinach, TaB* Atelierkino	G	PRAESENS	1020176	Niki	1	30	429	r	1	30	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	30	429	0	0	0	0	0	0	0	0	0	1	30	429	0	0	0
202520	108414	Reinach, TaB* Atelierkino	G	OUTSIDE THE BOX	1018390	Sidonie au Japon	1	8	119	r	1	8	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	119	0	0	0	0	0	0	0	0	0	1	8	119	0	0	0
202520	108414	Reinach, TaB* Atelierkino	G	PRAESENS	1020744	Ein Mädchen namens Willow	1	4	56	r	1	4	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	56	0	0	0	0	0	0	0	0	0	1	4	56	0	0	0
202519	108414	Reinach, TaB* Atelierkino	G	TRIGON	1021021	On Becoming a Guinea Fowl	1	7	106	r	1	7	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	106	0	0	0	0	0	0	0	0	0	1	7	106	0	0	0
202518	108414	Reinach, TaB* Atelierkino	G	FILMCOOPI	1010858	An - Von Kirschblüten und roten Bohnen	1	10	148	r	1	10	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	148	0	0	0	0	0	0	0	0	0	1	10	148	0	0	0
202518	108414	Reinach, TaB* Atelierkino	G	SONY PICTURES	1020294	Paddington in Peru 	1	26	343	r	0	0	0	1	26	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	26	343	0	0	0	0	0	0	1	26	343	0	0	0
202517	108414	Reinach, TaB* Atelierkino	G	TEMP IMPORT	1022317	O Artista Mãe	1	42	748	t	1	42	748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	42	748	0	0	0	0	0	0	0	0	0	1	42	748	0	0	0
202516	108414	Reinach, TaB* Atelierkino	G	FILMCOOPI	1021875	Das Licht	1	9	129	r	1	9	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	129	0	0	0	0	0	0	0	0	0	1	9	129	0	0	0
202515	108414	Reinach, TaB* Atelierkino	G	WB	1018952	Wunderschöner	1	12	135	r	1	12	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	135	0	0	0	0	0	0	0	0	0	1	12	135	0	0	0
202515	108414	Reinach, TaB* Atelierkino	G	PRAESENS	1019535	Friedas Fall	1	15	143	r	1	15	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	143	0	0	0	0	0	0	0	0	0	1	15	143	0	0	0
202515	108414	Reinach, TaB* Atelierkino	G	FILMCOOPI	1020059	Heldin	1	77	1041	r	1	77	1041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	77	1041	0	0	0	0	0	0	0	0	0	1	77	1041	0	0	0
202514	108414	Reinach, TaB* Atelierkino	G	FRENETIC	1018523	Sauvages	1	2	26	r	0	0	0	1	2	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	26	0	0	0	0	0	0	1	2	26	0	0	0
202514	108414	Reinach, TaB* Atelierkino	G	FILMCOOPI	1020059	Heldin	1	32	379	r	1	32	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	32	379	0	0	0	0	0	0	0	0	0	1	32	379	0	0	0
202514	108414	Reinach, TaB* Atelierkino	G	FILMCOOPI	1020846	Wir Erben	1	23	272	r	1	23	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	23	272	0	0	0	0	0	0	0	0	0	1	23	272	0	0	0
202513	108414	Reinach, TaB* Atelierkino	G	PATHE	1018950	Emilia Perez	1	3	42	r	1	3	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	42	0	0	0	0	0	0	0	0	0	1	3	42	0	0	0
202512	108414	Reinach, TaB* Atelierkino	G	XENIX	1018767	Antarctica Calling - Voyage au pôle Sud	1	18	257	r	0	0	0	1	18	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	257	0	0	0	0	0	0	1	18	257	0	0	0
202512	108414	Reinach, TaB* Atelierkino	G	CINEWORX	1019051	Prisoners of Fate	1	21	105	r	1	21	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	105	0	0	0	0	0	0	0	0	0	1	21	105	0	0	0
202511	108414	Reinach, TaB* Atelierkino	G	FILMCOOPI	1020928	The Substance	1	9	141	r	1	9	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	141	0	0	0	0	0	0	0	0	0	1	9	141	0	0	0
202510	108414	Reinach, TaB* Atelierkino	G	UNIVERSAL	1019964	The Wild Robot	1	5	68	r	0	0	0	1	5	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	68	0	0	0	0	0	0	1	5	68	0	0	0
202509	108414	Reinach, TaB* Atelierkino	G	UNIVERSAL	1021270	The Brutalist	1	6	90	r	1	6	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	90	0	0	0	0	0	0	0	0	0	1	6	90	0	0	0
202507	108414	Reinach, TaB* Atelierkino	G	PRAESENS	1020521	Widow Clicquot	1	28	360	r	1	28	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	28	360	0	0	0	0	0	0	0	0	0	1	28	360	0	0	0
202506	108414	Reinach, TaB* Atelierkino	G	DCM FILM	1020652	Der Vierer	1	10	154	r	1	10	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	154	0	0	0	0	0	0	0	0	0	1	10	154	0	0	0
202505	108414	Reinach, TaB* Atelierkino	G	SONY PICTURES	1019343	Die Drei ??? und der Karpatenhund	1	28	388	r	1	28	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	28	388	0	0	0	0	0	0	0	0	0	1	28	388	0	0	0
202505	108414	Reinach, TaB* Atelierkino	G	FRENETIC	1020428	The Missile	1	15	145	r	1	15	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	145	0	0	0	0	0	0	0	0	0	1	15	145	0	0	0
202505	108414	Reinach, TaB* Atelierkino	G	MOVIEBIZ	1021174	Hölde - die stillen Helden vom Säntis	1	38	503	r	1	38	503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	38	503	0	0	0	0	0	0	0	0	0	1	38	503	0	0	0
202504	108414	Reinach, TaB* Atelierkino	G	PATHE	1020514	Everybody Hates Johan	1	7	109	r	1	7	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	109	0	0	0	0	0	0	0	0	0	1	7	109	0	0	0
202504	108414	Reinach, TaB* Atelierkino	G	TRIGON	1020599	The Seed of the Sacred Fig	1	12	167	r	1	12	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	167	0	0	0	0	0	0	0	0	0	1	12	167	0	0	0
202503	108414	Reinach, TaB* Atelierkino	G	CINEWORX	1020279	The Outrun	1	15	225	r	1	15	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	225	0	0	0	0	0	0	0	0	0	1	15	225	0	0	0
202503	108414	Reinach, TaB* Atelierkino	G	XENIX	1020643	Flow	1	12	170	r	1	12	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	170	0	0	0	0	0	0	0	0	0	1	12	170	0	0	0
202502	108414	Reinach, TaB* Atelierkino	G	FILMCOOPI	1020828	Typisch Emil	1	22	286	r	1	22	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	286	0	0	0	0	0	0	0	0	0	1	22	286	0	0	0
202452	108414	Reinach, TaB* Atelierkino	G	FILMCOOPI	1020399	Der Buchspazierer	1	84	1216	r	1	84	1216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	84	1216	0	0	0	0	0	0	0	0	0	1	84	1216	0	0	0
202450	108414	Reinach, TaB* Atelierkino	G	XENIX	1019044	Joan Baez I Am A Noise	1	16	219	r	1	16	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	219	0	0	0	0	0	0	0	0	0	1	16	219	0	0	0
202450	108414	Reinach, TaB* Atelierkino	G	LANGJAHR	1020295	Die Tabubrecherin	1	32	417	r	1	32	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	32	417	0	0	0	0	0	0	0	0	0	1	32	417	0	0	0
202449	108414	Reinach, TaB* Atelierkino	G	MOVIEBIZ	1020552	Kalbermatten	1	18	254	r	1	18	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	254	0	0	0	0	0	0	0	0	0	1	18	254	0	0	0
202446	108414	Reinach, TaB* Atelierkino	G	PRAESENS	1014761	The Scent of fear	1	42	752	r	1	42	752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	42	752	0	0	0	0	0	0	0	0	0	1	42	752	0	0	0
202446	108414	Reinach, TaB* Atelierkino	G	AGORA	1019776	Bolero	1	12	171	r	1	12	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	171	0	0	0	0	0	0	0	0	0	1	12	171	0	0	0
202445	108414	Reinach, TaB* Atelierkino	G	SONY PICTURES	1016779	Harold And The Purple Crayon	1	7	40	r	0	0	0	1	7	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	40	0	0	0	0	0	0	1	7	40	0	0	0
202443	108414	Reinach, TaB* Atelierkino	G	TRIGON	1019485	The Monk and the Gun	1	17	159	r	1	17	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	159	0	0	0	0	0	0	0	0	0	1	17	159	0	0	0
202442	108414	Reinach, TaB* Atelierkino	G	DCM FILM	1019820	Die Schule der magischen Tiere 3	1	17	220	r	1	17	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	220	0	0	0	0	0	0	0	0	0	1	17	220	0	0	0
202442	108414	Reinach, TaB* Atelierkino	G	ELITE	1020576	Tschugger – Der lätscht Fall	2	109	1643	r	2	109	1643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	109	1643	0	0	0	0	0	0	0	0	0	2	109	1643	0	0	0
202441	108414	Reinach, TaB* Atelierkino	G	FRENETIC	1017067	La Passion de Dodin Bouffant	1	16	206	r	1	16	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	206	0	0	0	0	0	0	0	0	0	1	16	206	0	0	0
202440	108414	Reinach, TaB* Atelierkino	G	FILMCOOPI	1020051	Resilient Man	1	13	167	r	1	13	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	167	0	0	0	0	0	0	0	0	0	1	13	167	0	0	0
202439	108414	Reinach, TaB* Atelierkino	G	PRAESENS	1019700	Die Herrlichkeit des Lebens	1	11	78	r	1	11	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	78	0	0	0	0	0	0	0	0	0	1	11	78	0	0	0
202439	108414	Reinach, TaB* Atelierkino	G	FILMCOOPI	1020078	Zwei zu Eins	1	21	279	r	1	21	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	279	0	0	0	0	0	0	0	0	0	1	21	279	0	0	0
202437	108414	Reinach, TaB* Atelierkino	G	SONY PICTURES	1017341	The Garfield Movie	1	20	264	r	1	20	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	264	0	0	0	0	0	0	0	0	0	1	20	264	0	0	0
202433	108414	Reinach, TaB* Atelierkino	G	PRAESENS	1017788	Wow! Nachricht aus dem All	1	0	0	r	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
202422	108414	Reinach, TaB* Atelierkino	G	DCM FILM	1018883	Perfect Days	1	47	692	r	1	47	692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	47	692	0	0	0	0	0	0	0	0	0	1	47	692	0	0	0
