ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL",Kategorien,Schlagwörter,trailerlink,suisa,altersfreigabe,Sprache,Produktionsland,regie,produktion,Schauspieler,musik,bildupload,review,playdate,_fpsm_form_alias,rmp_vote_count,rmp_rating_val_sum,rmp_avg_rating,youtubeembed,autorname,releasedate,verleih,Blinkverleih,nameverleiher,filmserie,_wp_trash_meta_status,_wp_trash_meta_time,_wp_desired_post_slug,Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
2307,"BOB MARLEY: ONE LOVE","Bob Marleys ist noch immer ein Gigant der Popkultur. Seine Songs „No Woman, No Cry“, „Is This Love“ und viele weitere gehören auch über 40 Jahre nach seinem Tod zu den meistgespielten Liedern der Welt. Doch Bob Marley ist viel mehr als ein Reggae-Musiker. Zum ersten Mal erzählt ein Kinospielfilm nun seine Geschichte. BOB MARLEY: ONE LOVE feiert das Leben und die revolutionäre Musik Marleys. Er begeisterte damit die ganze Welt – und bezahlte dafür einen hohen Preis.",,2024-02-16,post,https://kinoklub.ch/kkTeam/bob-marley-one-love/nadiawagner/,https://kinoklub.ch/kkTeam/wp-content/uploads/2024/02/scen_03-2.jpg,scen_03-2,,,,https://kinoklub.ch/kkTeam/wp-content/uploads/2024/02/scen_03-2.jpg,,"Film gebucht",Musik,https://www.youtube.com/watch?v=gaGEmMCGLBU,1016.754,12,Englisch,USA,"Reinaldo Marcus Green",,"Kingsley Ben-Adir
Lashana Lynch
Jesse Cilio
Michael Gandolfini
Tosin Cole
James Norton",,,,,filmvorschlag,2,10,5,https://www.youtube.com/watch?v=gaGEmMCGLBU,,,,,,,,,,publish,2,nadiawagner,atelierkino@tab.ch,Nadia,Wagner,bob-marley-one-love,,,0,0,0,open,open,2024-02-20
2434,Margini,"Im Sommer 2008 bekommen drei Freunde die Chance ihres Lebens: Sie sollen in Bologna das Konzert einer berühmten US-amerikanischen Hardcoreband eröffnen. Als die Show in letzter Minute abgesagt wird, beschliessen Edo, Iac und Miche, die Band in ihre Heimatstadt Grosseto zu holen. Doch die Absurditäten des Provinzlebens stellen ihre Freundschaft auf eine harte Probe.",,2024-02-17,post,https://kinoklub.ch/kkTeam/margini/admin/,https://kinoklub.ch/kkTeam/wp-content/uploads/2024/02/margini.jpg,margini,,,,https://kinoklub.ch/kkTeam/wp-content/uploads/2024/02/margini.jpg,,"Filmvorschlag|Serie Musik",Komödie|Musik,https://youtu.be/13YRiPPgsXk?si=KtJWViojRpq4Sdg6,1019.043,16,Italienisch,Italien,"Niccolò Falsetti",,"Francesco Turbanti
Valentina Carnelutti
Emanuele Linfatti
Matteo Creatini","Alessandro Pieravanti Giancane",,,,filmvorschlag,1,5,5,,"Stefan Jablonski",,"Noha Film",https://nohafilm.com/2023/07/18/margini/,,,,,,publish,1,admin,jablonski.stefan@gmail.com,,,margini,,,0,0,0,open,open,2024-06-22
2677,"Prisoners of Fate (Gefangene des Schicksals)","«Gefangene des Schicksals» begleitet Geflüchtete aus Afghanistan und Iran in ihrem Alltag in der Schweiz. Mahmad, ein Deserteur, Sanam, von ihrem kleinen Sohn getrennt, Ezat, der sich um seine zurückgelassene Mutter sorgt und der Jugendliche Omid, der mit überwältigendem Heimweh zu kämpfen hat, empfinden alle Ohnmacht angesichts ihres Schicksals. Nach den Strapazen der Flucht stehen sie nicht nur vor der Herausforderung, sich als Asylsuchende in einem fremden Land zurechtfinden zu müssen, sondern sind mit dem schmerzhaften Prozess der Vergangenheitsbewältigung konfrontiert. In ihren dunklen Momenten bezeichnen sie sich als «Gefangene des Schicksals», doch dank Freundschaft, Zusammenhalt und Humor schöpfen sie immer wieder Hoffnung.",,2024-02-22,post,https://kinoklub.ch/kkTeam/prisoners-of-fate-gefangene-des-schicksals/admin/,https://kinoklub.ch/kkTeam/wp-content/uploads/2024/02/prisonersoffate.jpg,prisonersoffate,,,,https://kinoklub.ch/kkTeam/wp-content/uploads/2024/02/prisonersoffate.jpg,,Filmvorschlag,Dokumentation,,1019.051,16,Persisch,Schweiz,"Mehdi Sahebi","Aya Domenig","Mehdi Sahebi
Aya Domenig",,,,,filmvorschlag,1,5,5,https://www.youtube.com/watch?v=PinaBC5LWWE,"Nadia Wagner",,,,,,,,,publish,1,admin,jablonski.stefan@gmail.com,,,prisoners-of-fate-gefangene-des-schicksals,,,0,0,0,open,open,2024-02-26
2720,"La Passion de Dodin Bouffant","Kochen mit Leidenschaft, essen, Genuss, Liebe.

ein Oscargekrönter Film!

&nbsp;",,2024-02-27,post,https://kinoklub.ch/kkTeam/la-passion-de-dodin-bouffant-2/admin/,https://kinoklub.ch/kkTeam/wp-content/uploads/2024/02/IMG_6649PecUe8s.jpeg,IMG_6649PecUe8s,,,,https://kinoklub.ch/kkTeam/wp-content/uploads/2024/02/IMG_6649PecUe8s.jpeg,,Filmvorschlag,Drama,,,10,Französisch,Frankreich,"Tran Anh Hung","Frenectic Film","Juliette  Binoche
Benoît Magimel",,,,,filmvorschlag,2,8,4,https://www.youtube.com/watch?v=_JhkCpI4pEU,"Liliane Zimmermann",,,,,,,,,publish,1,admin,jablonski.stefan@gmail.com,,,la-passion-de-dodin-bouffant-2,,,0,0,0,open,open,2024-02-27
2721,Bisons,"Ein junger Bauer, der Schweizer Meister im Schwingen ist, wird von seinem Bruder in eine Reihe von illegalen Kämpfen verwickelt. Diese sollen der Familie das Geld verschaffen, um den Hof zu retten, der in finanzielle Schieflage geraten ist.",,2024-02-27,post,https://kinoklub.ch/kkTeam/bisons/admin/,https://kinoklub.ch/kkTeam/wp-content/uploads/2024/02/media-2.jpeg,media-2,,,,https://kinoklub.ch/kkTeam/wp-content/uploads/2024/02/media-2.jpeg,,Filmvorschlag,Action|Schweiz,https://vimeo.com/895245191,,,Französisch,"Schweiz frankreich","Pierre Monnard",Ascot,"Maxim Varini
Karim Barras","Nicolas Rabaeus",,,,filmvorschlag,2,8,4,https://www.youtube.com/watch?v=32O6r-umOcw,"Liliane Zimmermann",,,,,,,,,publish,1,admin,jablonski.stefan@gmail.com,,,bisons,,,0,0,0,open,open,2024-02-28
2733,"The Zone of Interest","<div class=""Box-s1pnyn9l-0 hFQliC"" data-reactid=""48"">
<div class=""Narrative-s15nf7tc-0 kVGNXu"" data-synopsis=""full"" data-reactid=""50"">

Rudolf Höss, der Kommandant von Auschwitz, und seine Frau Hedwig führen mit ihren Kindern in einem schmucken Haus ein idyllisch anmutendes Leben – Mauer an Mauer mit dem Vernichtungslager.

Ohne ihn explizit zu zeigen, vermittelt Jonathan Glazer in «The Zone of Interest» den Horror des Konzentrationslagers von Auschwitz. Sein von Martin Amis’ Roman «Interessengebiet» inspirierter Film wurde am Festival von Cannes mit dem Grossen Preis der Jury und mit dem Kritikerpreis ausgezeichnet.

</div>
</div>",,2024-02-28,post,https://kinoklub.ch/kkTeam/the-zone-of-interest/admin/,https://kinoklub.ch/kkTeam/wp-content/uploads/2024/02/IMG_2080di0DiZv.jpeg|https://kinoklub.ch/kkTeam/wp-content/uploads/2024/02/IMG_2079.jpeg|https://kinoklub.ch/kkTeam/wp-content/uploads/2024/02/IMG_2079bH6KaAo.jpeg|https://kinoklub.ch/kkTeam/wp-content/uploads/2024/02/IMG_2078.jpeg,IMG_2080di0DiZv|IMG_2079|IMG_2079bH6KaAo|IMG_2078,|||,|||,|||,https://kinoklub.ch/kkTeam/wp-content/uploads/2024/02/IMG_2080di0DiZv.jpeg,,Filmvorschlag,Drama,https://www.youtube.com/watch?v=r-vfg3KkV54,,12,E,"US UK PL","Jonathan Glazer",,"Christian Friedel
Sandra Hüller",,"2729,2731,2732",,,filmvorschlag,1,4,4,https://www.youtube.com/watch?v=r-vfg3KkV54,Liliane,,,,,,,,,publish,1,admin,jablonski.stefan@gmail.com,,,the-zone-of-interest,,,0,0,0,open,open,2024-02-28
2739,"Les filles d‘Olfa","<strong>Kaouther Ben Hania erzählt die wahre Geschichte von Olfa, deren zwei älteste Töchter verschwunden sind. Um sich dieser Familiengeschichte und den Entwicklungen in Tunesien mit der nötigen Distanz zu nähern, lässt sie drei Schauspielerinnen auftreten und verwebt in einer meisterlich fesselnden Inszenierung Dokument und Fiktion.</strong>

In Tunesien ist die Geschichte von Olfa Hamrouni bekannt, hat die Mutter von vier Töchtern doch 2016 ihr Schicksal öffentlich gemacht. Ghofrane und Rahma hatten als Teenager Tunesien verlassen, um an der Seite des IS in Libyen zu kämpfen; die Mutter und die beiden anderen Töchter, Eya und Tayssir, blieben zurück und fragten sich: Was war geschehen? Wie war das möglich?",,2024-02-28,post,https://kinoklub.ch/kkTeam/les-filles-dolfa/admin/,https://kinoklub.ch/kkTeam/wp-content/uploads/2024/02/IMG_6776.jpeg|https://kinoklub.ch/kkTeam/wp-content/uploads/2024/02/IMG_6778.jpeg|https://kinoklub.ch/kkTeam/wp-content/uploads/2024/02/IMG_6777.jpeg,IMG_6776|IMG_6778|IMG_6777,||,||,||,https://kinoklub.ch/kkTeam/wp-content/uploads/2024/02/IMG_6776.jpeg,,Filmvorschlag,Dokumentation,,,,"Arabisch/ d/e",Tunesien,"Kaouther Ben Hania",Trigon,"chraq Matar (Ghofrane Chikhaoui), Olfa Hamrouni (Olfa Hamrouni), Eya Chikhaoui (Eya Chikhaoui), Tayssir Chikhaoui (Tayssir Chikhaoui), Nour Karoui (Rahma Chikhaoui), Majd Mastoura (Mann), Hend Sabri (Olfa)","Amine Bouhafa","2737,2738",,,filmvorschlag,1,5,5,https://www.youtube.com/watch?v=dbNe0RWYB58,Liliane,,,,,,,,,publish,1,admin,jablonski.stefan@gmail.com,,,les-filles-dolfa,,,0,0,0,open,open,2024-03-01
2741,"DIE DSCHUNGELHELDEN AUF WELTREISE","<div class=""box line boxtext"">Wen ruft man zu Hilfe, wenn ein mysteriöser Superschurke den Dschungel mit rosa Schaum bedeckt, der bei Kontakt mit Wasser explodiert? Die Dschungelhelden! Vom Nordpol bis in den Fernen Osten, über Berge, Wüsten und Ozeane müssen unsere Helden die Welt nach einem Gegenmittel suchen – weit weg von ihrem Lieblingsdschungel!</div>
<div class=""box"">
<table><colgroup> <col width=""25%"" /> <col width=""75%"" /></colgroup>
<tbody>
<tr>
<td>Genre</td>
<td>Animation</td>
</tr>
<tr>
<td>Regie</td>
<td><a href=""https://www.kinowetter.ch/search/Laurent+Bru/"">Laurent Bru</a>
<a href=""https://www.kinowetter.ch/search/Yannick+Moulin/"">Yannick Moulin</a>
<a href=""https://www.kinowetter.ch/search/Beno%C3%AEt+Somville/"">Benoît Somville</a></td>
</tr>
<tr>
<td>Originaltitel</td>
<td>Les As de la jungle 2</td>
</tr>
<tr>
<td>Land</td>
<td>Frankreich</td>
</tr>
<tr>
<td>Jahr</td>
<td>2023</td>
</tr>
<tr>
<td>Dauer</td>
<td>89 Minuten</td>
</tr>
<tr>
<td>Altersfreigabe</td>
<td>Zugelassen ab 6 Jahre
Empfohlen ab 8 Jahre</td>
</tr>
<tr>
<td>Kino Release</td>
<td>28.03.2024</td>
</tr>
<tr>
<td>Kino Copyright</td>
<td>© Praesens-Film AG</td>
</tr>
</tbody>
</table>
</div>",,2024-02-29,post,https://kinoklub.ch/kkTeam/die-dschungelhelden-auf-weltreise/admin/,https://kinoklub.ch/kkTeam/wp-content/uploads/2024/02/IMG_8292.jpeg,IMG_8292,,,,https://kinoklub.ch/kkTeam/wp-content/uploads/2024/02/IMG_8292.jpeg,,Filmvorschlag,Familie|Komödie,https://www.cineman.ch/movie/2023/LesAsDeLaJungle2/trailer.html,,6,,,,,,,,,,filmvorschlag,,,,https://www.youtube.com/watch?v=mzNHjfkkbpY,Christine,,,,,,,,,publish,1,admin,jablonski.stefan@gmail.com,,,die-dschungelhelden-auf-weltreise,,,0,0,0,open,open,2024-03-01
2743,"Godzilla x Kong: The New Empire","Der epische Kampf geht weiter! Nach dem explosiven Showdown in ""Godzilla vs. Kong"" präsentiert Legendary Pictures ein brandneues Abenteuer aus dem MonsterVerse: Der allmächtige Kong und der furchteinflössende Godzilla treten gegen eine gewaltige, unbekannte Bedrohung an, die in unserer Welt verborgen liegt - und die ihre gesamte Existenz infrage stellt. ""Godzilla x Kong: The New Empire"" beschäftigt sich mit der Geschichte und den Ursprüngen der beiden Titanen sowie mit den Geheimnissen, die Skull Island birgt. Ausserdem enthüllt das neue Kapitel mehr über den mythischen Kampf, der zur Entstehung dieser aussergewöhnlichen Kreaturen beigetragen und sie für immer untrennbar mit der Menschheit verbunden hat. [Pressetext]",,2024-02-29,post,https://kinoklub.ch/kkTeam/untitled-post/admin/,https://kinoklub.ch/kkTeam/wp-content/uploads/2024/02/IMG_8293.jpeg,IMG_8293,,,,https://kinoklub.ch/kkTeam/wp-content/uploads/2024/02/IMG_8293.jpeg,,Filmvorschlag,Action,https://kinocheck.de/trailer/sgfa/godzilla-x-kong-the-new-empire-trailer-german-deutsch-2024?utm_source=share-button&utm_medium=native,,12,,,"Adam Wingard",,,,,,,filmvorschlag,,,,,Christine,,,,,,,,,publish,1,admin,jablonski.stefan@gmail.com,,,untitled-post,,,0,0,0,open,open,2024-02-29
2750,"Whow! Nachricht aus dem All","Mit elf Jahren ist Billie (Ava-Elizabeth Awe) auf dem besten Weg, in die Fußstapfen ihrer Mutter zu treten, die als Astronautin das All erforscht hat. Begeistert vom Weltraum und der Kommunikation mit Außerirdischen trifft sie zufällig auf Dino (Felix Nölle), der ihre Faszination teilt. Nachdem sie gemeinsam an einem selbstgebauten Radioteleskop tüfteln, stoßen sie auf Signale von Außerirdischen?! Niemand will ihnen glauben, auch nicht im ESA-Weltraumhafen, wo sie Antworten auf ihre Fragen suchen. Billie und Dino gehen auf eigene Faust auf dem Gelände auf Spurensuche und entdecken in einem geheimen Labor einen schwebenden Stein! Als sie von den Wachleuten entdeckt werden, müssen sie ganz schnell ein gutes Versteck finden … und landen durch Zufall in einer Rakete, die sie direkt ins All katapultiert – ein atemberaubendes Abenteuer beginnt!",,2024-03-01,post,https://kinoklub.ch/kkTeam/whow-nachricht-aus-dem-all/admin/,https://kinoklub.ch/kkTeam/wp-content/uploads/2024/03/IMG_2088.jpeg|https://kinoklub.ch/kkTeam/wp-content/uploads/2024/03/IMG_2087.jpeg|https://kinoklub.ch/kkTeam/wp-content/uploads/2024/03/IMG_2086.jpeg,IMG_2088|IMG_2087|IMG_2086,||,||,||,https://kinoklub.ch/kkTeam/wp-content/uploads/2024/03/IMG_2088.jpeg,,Filmvorschlag,Familie,,,6,Deutsch,Deutschland,"Felix Binder","Constantin Film"," Ava-Elisabeth Awe
Feli Nölle",,"2748,2749",,,filmvorschlag,,,,https://youtu.be/YFsSDUU8xpQ?si=rQuzuAYblHT_5pi0,Liliane,,,,,,,,,publish,1,admin,jablonski.stefan@gmail.com,,,whow-nachricht-aus-dem-all,,,0,0,0,open,open,2024-03-01
