Grid: 
11/01/2023

04/16/2025

AtelierKino
AtelierKino, Mittwoch, 01.11.2023 - Mittwoch, 16.04.2025
Tag	Anfang	Ende	Saal	Titel	Version	Alter
2023-11-12	14:00	15:26	AtelierKino	DAS FLIEGENDE KLASSENZIMMER	OV	6	
2023-11-26	11:00	12:51	AtelierKino	INGEBORG BACHMANN - REISE IN DIE WÜSTE	OV/d	6	
2023-12-02	18:00	19:34	AtelierKino	ADIÓS BUENOS AIRES	OV/df	12	
2023-12-07	20:15	22:06	AtelierKino	INGEBORG BACHMANN - REISE IN DIE WÜSTE	OV/d	6	
2024-01-20	19:30	20:58	AtelierKino	BON SCHUUR TICINO	OV	6	
2024-01-21	14:00	15:57	AtelierKino	WONKA	D	6	
2024-01-25	20:00	21:54	AtelierKino	EL ROBO DEL SIGLO	OV/d	16	
2024-01-28	11:00	12:40	AtelierKino	BEYOND TRADITION - KRAFT DER NATURSTIMMEN	OV/d	8	
2024-02-10	20:00	21:43	AtelierKino	JAKOBS ROSS	schweizerdeutsch	12	
2024-02-11	14:00	15:37	AtelierKino	THABO - DAS NASHORN-ABENTEUER	d	6	
2024-02-17	18:00	19:43	AtelierKino	JAKOBS ROSS	schweizerdeutsch	12	
2024-02-18	11:00	12:39	AtelierKino	PLANET HORA	OV	-	
2024-02-22	20:00	21:37	AtelierKino	BERGFAHRT	schweizerdeutsch	10	
2024-03-03	11:00	12:42	AtelierKino	UN MÉTIER SÉRIEUX	OV/d	12	
2024-03-07	20:00	21:38	AtelierKino	FEARLESS FLYERS	OV/df	14	
2024-03-17	11:00	12:54	AtelierKino	THE OLD OAK	OV/df	14	
2024-03-20	20:00	21:57	AtelierKino	HORS NORMES	OV/df	12	
2024-03-23	19:00	20:30	AtelierKino	GameON!	ab 14		
2024-04-01	14:00	15:40	AtelierKino	LE DERNIER JAGUAR - ELLA UND DER SCHWARZE JAGUAR	D	8	
2024-04-04	20:00	21:22	AtelierKino	FALLEN LEAVES	OV/df	16	
2024-04-10	14:00	15:40	AtelierKino	LE DERNIER JAGUAR - ELLA UND DER SCHWARZE JAGUAR	D	8	
2024-04-18	20:00	21:38	AtelierKino	THE HYPNOSIS	OV/df	14	
2024-04-21	18:00	19:24	AtelierKino	RÖBI GEHT	schweizerdeutsch	14	
2024-04-30	20:00	21:36	AtelierKino	COUP DE CHANCE	OV/df	12	
2024-05-03	20:00	22:14	AtelierKino	LA CHIMERA	OV/df	16	
2024-05-06	20:00	21:09	AtelierKino	Der Wert der Dinge	OV/d	14	
2024-05-15	14:00	15:18	AtelierKino	NEUE GESCHICHTEN VOM PUMUCKL	D	0	
2024-05-19	11:00	12:45	AtelierKino	ALL OF US STRANGERS	OV/df	16	
2024-05-23	20:00	22:03	AtelierKino	PERFECT DAYS	OV/df	14	
2024-05-26	14:00	15:18	AtelierKino	NEUE GESCHICHTEN VOM PUMUCKL	D	0	
2024-08-08	19:00	20:43	AtelierKino	WOW! NACHRICHT AUS DEM ALL	OV/d	6	
2024-08-31	20:00	21:40	AtelierKino	Sommerpause Kino	D		
2024-09-08	14:00	15:41	AtelierKino	THE GARFIELD MOVIE	schweizerdeutsch	6	
2024-09-20	20:00	21:56	AtelierKino	ZWEI ZU EINS	D	6	
2024-09-22	10:00	11:38	AtelierKino	DIE HERRLICHKEIT DES LEBENS	D	12	
2024-09-27	20:00	21:31	AtelierKino	RESILIENT MAN	OV/df	10	
2024-10-06	10:00	12:15	AtelierKino	LA PASSION DE DODIN BOUFFANT	OV/df	14	
2024-10-11	20:00	21:30	AtelierKino	TSCHUGGER – DER LÄTSCHT FALL	OV/d	14	
2024-10-12	20:00	21:30	AtelierKino	TSCHUGGER – DER LÄTSCHT FALL	OV/d	14	
2024-10-13	14:00	15:30	AtelierKino	DIE SCHULE DER MAGISCHEN TIERE 3	D		
2024-10-18	20:00	21:47	AtelierKino	THE MONK AND THE GUN	OV/df	12	
2024-10-25	21:00	22:31	AtelierKino	MARGINI	OV/df	16	
2024-11-03	14:00	15:31	AtelierKino	HAROLD UND DIE ZAUBERKREIDE	D		
2024-11-08	20:00	22:00	AtelierKino	BOLERO	OV/d	10	
2024-11-10	10:30	12:03	AtelierKino	THE SCENT OF FEAR	D	14	
